Name,RA,DEC,16cm,4cm,15mm,7mm,3mm
J0529-7625,05:29:16.78447,-76:25:11.2482,0.098,0.185,0.179,0.027,0.027
0530-727,05:29:30.042,-72:45:28.51,0.678,0.790,1.219,1.050,0.802
0528-250,05:30:07.962795,-25:03:29.899590,1.175,0.853,0.325,0.173,0.063
0529+075,05:32:38.998531,07:32:43.345860,1.752,1.424,1.723,2.151,0.937
J0533-7216,05:33:44.71065,-72:16:24.3125,0.201,0.178,0.129,0.096,0.118
0532-378,05:34:17.498,-37:47:25.49,0.691,0.647,0.469,0.325,0.204
0534-340,05:36:28.43239,-34:01:11.4688,0.495,0.909,0.994,0.511,0.576
0537-441,05:38:50.362,-44:05:08.94,4.576,4.553,4.811,3.689,3.079
0537-158,05:39:32.010154,-15:50:30.321260,0.263,0.585,0.498,0.382,0.253
J0539-5612,05:39:42.39309,-56:12:49.9689,0.276,0.239,0.166,0.153,0.138
0537-286,05:39:54.281429,-28:39:55.947450,1.470,1.527,1.144,0.712,0.735
0539-530,05:40:25.170,-53:03:46.85,0.720,0.468,0.225,0.086,0.108
J0540-5418,05:40:45.84863,-54:18:22.0980,0.631,0.813,0.894,0.590,0.176
0539-057,05:41:38.083384,-05:41:49.428390,0.926,1.247,0.659,0.519,0.515
J0546-6415,05:46:41.83852,-64:15:21.9331,0.155,0.094,0.102,0.025,0.235
J0549-5246,05:49:43.80568,-52:46:25.9644,0.175,0.204,0.210,0.379,0.159
0548+084,05:51:11.2291,08:29:11.210,0.131,0.141,0.189,0.124,0.091
0550+032,05:52:50.101478,03:13:27.243150,0.437,1.068,1.027,0.716,0.895
J0558-5029,05:58:11.68483,-50:29:48.7565,0.224,0.195,0.117,0.117,0.155
J0558-7459,05:58:46.04086,-74:59:05.2043,0.209,0.242,0.223,0.169,0.228
J0602-5724,06:02:09.37276,-57:24:03.1871,0.106,0.126,0.118,0.113,0.150
0606-795,06:03:06.049,-79:34:50.57,1.113,0.429,0.134,0.011,0.038
0602-424,06:04:25.17469,-42:25:30.0938,0.186,0.518,0.820,0.663,0.486
0602+096,06:05:10.1131,09:39:13.593,0.373,0.398,0.237,0.137,0.274
J0606-4729,06:06:35.73340,-47:29:54.8433,0.261,0.263,0.217,0.156,0.124
J0607-6031,06:07:55.08633,-60:31:51.9931,0.898,0.577,0.383,0.506,0.146
0605-085,06:07:59.699243,-08:34:49.978150,1.851,3.504,4.678,3.099,3.615
J0608-5456,06:08:49.05938,-54:56:42.8832,0.478,0.626,0.803,0.575,0.197
0606-223,06:08:59.686836,-22:20:20.955920,1.156,1.053,0.989,0.553,0.614
0607-157,06:09:40.949538,-15:42:40.672640,3.197,3.044,3.436,2.976,2.805
J0610-6058,06:10:30.29578,-60:58:37.7615,0.170,0.105,0.064,0.092,0.116
0610-436,06:12:28.60528,-43:37:48.4012,0.277,0.191,0.256,0.105,0.051
0614-349,06:16:35.981466,-34:56:16.56406,3.191,1.542,0.406,0.098,0.162
0615-365,06:17:32.32400189,-36:34:14.8038750,1.470,0.643,0.179,0.087,0.037
J0620-6107,06:20:05.18933,-61:07:31.8887,0.234,0.253,0.216,0.211,0.112
J0621-4651,06:21:19.43480,-46:49:58.4396,0.291,0.241,0.179,0.173,0.124
J0621-5241,06:21:43.30335,-52:41:33.2961,0.347,0.295,0.199,0.088,0.144
J0623-6436,06:23:07.69656,-64:36:20.7232,0.295,0.299,0.327,0.388,0.204
J0625-6020,06:25:24.28873,-60:20:29.5063,0.378,0.353,0.215,0.163,0.127
J0625-5438,06:25:52.23060,-54:38:50.7033,0.535,0.652,0.429,0.240,0.203
0624-058,06:27:10.0960,-05:53:04.768,12.015,5.706,1.337,0.525,0.432
0627-199,06:29:23.761851,-19:59:19.723450,0.690,0.758,1.673,0.910,0.836
0629-418,06:31:11.998,-41:54:26.95,0.557,0.399,0.434,0.290,0.139
0637-752,06:35:46.507954,-75:16:16.81497,4.406,3.487,2.459,1.809,1.875
0637-337,06:39:20.905,-33:46:00.11,0.383,0.703,0.319,0.153,0.053
0639-032,06:41:51.1335,-03:20:48.500,0.554,0.564,0.495,0.745,1.145
J0642-6150,06:42:46.99932,-61:50:08.6742,0.181,0.155,0.107,0.175,0.106
